iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,939721.3301,-7340.458899999969,0.007750770842260187,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,939908.5325,-7153.256500000018,0.007553104330767185,7.203755109464656e-05,0.00028214602715446286,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,940122.5705,-6939.218499999959,0.0073271021812917414,0.00010391118591590351,0.0002903292900095683,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,940286.0816,-6775.707399999956,0.007154451249853937,5.019540140831771e-05,0.0002441828715269331,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,940464.7999,-6596.989100000006,0.006965743076769837,6.480451426677279e-05,0.000244360511135396,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,940643.4377,-6418.35129999998,0.006777119903419501,7.095972170243548e-05,0.0002367849592099112,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,940801.7387,-6260.050300000003,0.006609970302581813,4.584764545245251e-05,0.00021388969021507095,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,940951.0062,-6110.7828000000445,0.006452359150137821,4.554315027137249e-05,0.00020035509454077515,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,941105.5885,-5956.200500000035,0.006289136114644823,5.5459184545507746e-05,0.000195735646747917,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,941234.5939,-5827.195100000012,0.006152919659183939,3.3489162949151796e-05,0.00017191801762760013,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,1.0,1.0,941382.7488,-5679.040200000047,0.00599648329809244,5.1254698554310785e-05,0.0001756852207990907,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
11,1.0,1.0,939773.8681,-7287.920900000026,0.0076952961091327765,0.00020636757559616966,0.0018292593881323008,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_11/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_11/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
12,1.0,1.0,940007.9941,-7053.794899999979,0.0074480830943966835,6.729588640428997e-05,0.00025273810555433173,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_12/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_12/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
13,1.0,1.0,940267.4359,-6794.353099999949,0.007174139194417387,0.00011286002668790852,0.000271436048224976,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_13/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_13/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
14,1.0,1.0,940484.2594,-6577.529600000009,0.00694519584297156,5.610243413806158e-05,0.00022891647438968063,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_14/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_14/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
15,1.0,1.0,939141.4106,-7920.378400000045,0.008363106285138113,0.00024704563824297615,0.0016970949298608293,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_15/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_15/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
16,1.0,1.0,939485.4191,-7576.369899999932,0.007999868633703194,0.00020777693041197154,0.00035236492902164166,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_16/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_16/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
17,1.0,1.0,939757.1743,-7304.614700000035,0.007712923047727391,0.00015334766227429998,0.00027634612388527195,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_17/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_17/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
18,1.0,1.0,939759.0228,-7302.766199999955,0.00771097122154081,2.8247617127138605e-05,8.434049087183664e-05,0.0,True,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_18/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260820_12-09-09-b0001p0001/iteration_18/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
