   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260903   3 513 513
 1.361868376E+00 2.446620775E+00 8.500000240E-01 1.427896806E-01-4.349723513E-03
 9.185946572E-01-4.349723513E-03-7.146004164E-02 0.000000000E+00 -4.87488985E-01
 6.943101085E+05-7.146004164E-02 0.000000000E+00 9.185946572E-01 0.000000000E+00
-4.349723513E-03 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 -4.80082649E-01 -4.79843515E-01 -4.79606033E-01 -4.79369629E-01 -4.79134099E-01
 -4.78899017E-01 -4.78664043E-01 -4.78429166E-01 -4.78194377E-01 -4.77959519E-01
 -4.77724447E-01 -4.77489171E-01 -4.77253699E-01 -4.77017947E-01 -4.76781829E-01
 -4.76545359E-01 -4.76308551E-01 -4.76071350E-01 -4.75833691E-01 -4.75595598E-01
 -4.75357075E-01 -4.75118086E-01 -4.74878594E-01 -4.74638608E-01 -4.74398138E-01
 -4.74157163E-01 -4.73915661E-01 -4.73673640E-01 -4.73431110E-01 -4.73188059E-01
 -4.72944477E-01 -4.72700371E-01 -4.72455753E-01 -4.72210619E-01 -4.71964965E-01
 -4.71718800E-01 -4.71472134E-01 -4.71224974E-01 -4.70977325E-01 -4.70729195E-01
 -4.70480593E-01 -4.70231531E-01 -4.69982020E-01 -4.69732068E-01 -4.69481684E-01
 -4.69230890E-01 -4.68979702E-01 -4.68728130E-01 -4.68476185E-01 -4.68223897E-01
 -4.67971293E-01 -4.67718374E-01 -4.67465160E-01 -4.67211685E-01 -4.66957990E-01
 -4.66704083E-01 -4.66449970E-01 -4.66195694E-01 -4.65941287E-01 -4.65686765E-01
 -4.65432142E-01 -4.65177446E-01 -4.64922715E-01 -4.64667954E-01 -4.64413174E-01
 -4.64158411E-01 -4.63903688E-01 -4.63649019E-01 -4.63394420E-01 -4.63139911E-01
 -4.62885521E-01 -4.62631266E-01 -4.62377149E-01 -4.62123193E-01 -4.61869423E-01
 -4.61615845E-01 -4.61362470E-01 -4.61109322E-01 -4.60856418E-01 -4.60603764E-01
 -4.60351377E-01 -4.60099274E-01 -4.59847471E-01 -4.59595982E-01 -4.59344818E-01
 -4.59093991E-01 -4.58843517E-01 -4.58593411E-01 -4.58343682E-01 -4.58094339E-01
 -4.57845397E-01 -4.57596869E-01 -4.57348763E-01 -4.57101090E-01 -4.56853863E-01
 -4.56607092E-01 -4.56360788E-01 -4.56114961E-01 -4.55869622E-01 -4.55624780E-01
