iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,0.970997334206738,790227.9333,45837.43330000003,0.06157713364154974,,,0.029868944817398446,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,0.970997334206738,1.456496001310107,790481.088,46090.58799999999,0.061917216837130494,4.733157862335316e-05,0.0002305860148165436,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.456496001310107,2.1847440019651603,788147.2426,43756.7426,0.058781973440015685,0.0005335087300934212,0.002202076922622425,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,2.1847440019651603,3.27711600294774,784419.1026,40028.602599999984,0.053773661270529356,0.0011360511253582406,0.0028733929619379744,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,3.27711600294774,4.915674004421611,781520.5897,37130.08970000001,0.04987985432377228,0.0018101593427308515,0.002421585157550314,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,4.915674004421611,5.0,771095.2862,26704.786199999973,0.035874700442845485,0.0033371875315964445,0.008356691361637173,0.016865199115677854,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,5.0,4.343693260991891,773734.4826,29343.98259999999,0.03942014654942532,0.0018954312227515548,0.009910395796453598,0.15109417253331553,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,4.343693260991891,2.8957955073279273,766810.6538,22420.15379999997,0.030118806997133856,0.0022365177596949206,0.005676578036199449,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,2.8957955073279273,1.9305303382186183,763110.4932,18719.993200000026,0.02514808181995878,0.0011107980068359399,0.0036441427647332064,0.49999999999999994,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.9305303382186183,2.8957955073279273,764187.7456,19797.245600000024,0.02659524214777059,0.0003716455458338138,0.002971072796928144,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_19-30-00-Te_ped_scale_1.100/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
