iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,0.9542662776595506,819332.7753,74942.27529999998,0.10067602327004439,,,0.04792553547277879,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,0.9542662776595506,1.431399416489326,819412.6275,75022.12749999994,0.10078329519250977,0.0001334128805466086,0.00040470034579486743,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.431399416489326,0.9542662776595506,819883.6854,75493.18539999996,0.10141610539092044,0.0003715854314484643,0.0010705285244520175,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,0.9542662776595506,1.431399416489326,820814.4838,76423.98380000005,0.10266652220843771,0.00012317701385623485,0.0010090986253928748,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.431399416489326,2.1470991247339892,817182.1183,72791.61829999997,0.09778687167555197,0.0011297986629391396,0.003645261316721586,0.3333333333333334,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,2.1470991247339892,3.220648687100984,814134.4106,69743.91059999994,0.09369263928005522,0.0018399062083926552,0.003660331862212493,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,3.220648687100984,2.1470991247339892,902993.1279,158602.62789999996,0.21306374530572322,0.016955368830262992,0.10500182051523267,0.5,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,2.1470991247339892,1.4313994164893262,899930.414,155539.914,0.20894935386735858,0.0016591617953840697,0.0022628260102010214,0.49999999999999994,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.4313994164893262,0.9542662776595509,893043.034,148652.53399999999,0.1996969789378021,0.0016137662168423646,0.006466376673963982,0.49999999999999994,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,0.9542662776595509,0.6361775184397006,892695.7365,148305.2365,0.19923042610027936,0.00044853074306229013,0.0008993742210382958,0.4999999999999999,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,0.6361775184397006,0.954266277659551,892952.0935,148561.59349999996,0.1995748112046029,0.0001872770868599937,0.0007465246864799213,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
11,0.954266277659551,1.4313994164893264,892554.1975,148163.6975,0.1990402853072413,0.0005198013644166517,0.0009383356588805868,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_11/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_11/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
12,1.4313994164893264,2.1470991247339897,891261.6901,146871.1901,0.19730395551797075,0.0010199269605738726,0.0014102501463773838,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_12/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_12/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
13,2.1470991247339897,3.2206486871009847,887181.4444,142790.94440000004,0.1918226312667881,0.001864071477304171,0.0030768477407305873,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_13/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_13/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
14,3.2206486871009847,4.830973030651477,866086.3136,121695.8136,0.1634838348957973,0.004790177917828614,0.019257756238119615,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_14/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_14/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
15,4.830973030651477,5.0,853799.9589,109409.45889999997,0.14697858032847003,0.004452129459799828,0.009534252228912582,0.03380539386970458,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_15/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_15/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
16,5.0,5.0,829840.4817,85449.9817,0.1147918756351673,0.006024356948986549,0.022121497876200876,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_16/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_16/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
17,5.0,5.0,814532.485,70141.98499999999,0.09422740483657434,0.0052027410362123425,0.016276459202643305,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_17/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_17/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
18,5.0,5.0,808510.1726,64119.67260000005,0.08613714522149335,0.0031453574428258945,0.004739980450379358,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_18/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_18/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
19,5.0,5.0,803457.4657,59066.96569999994,0.07934943514190461,0.002882158203101612,0.004083406022964256,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_19/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_19/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
20,5.0,5.0,797114.9548,52724.45479999995,0.07082902696904374,0.0028090763093551307,0.005172795582187541,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_20/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_20/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
21,5.0,5.0,795088.9085,50698.40850000002,0.06810727501224159,0.0019994340390808024,0.0015049121393643139,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_21/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_21/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
22,5.0,5.0,789779.8398,45389.33979999996,0.06097517338010085,0.0023620590766732946,0.004447190021350811,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_22/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_22/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
23,5.0,5.0,777821.9404,33431.44039999996,0.044911159398192166,0.00322783632343256,0.013090316148586103,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_23/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_23/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
24,5.0,5.0,660837.9739,-83552.52610000002,0.11224286997214503,0.02933506640418205,0.1404535731416806,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_24/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_24/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
25,5.0,5.0,662749.8677,-81640.63230000006,0.10967446830662139,0.0011235859717375208,0.004707605659254987,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_25/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_25/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
26,5.0,5.0,664292.6407,-80097.85930000001,0.1076019364836064,0.0010986898548864428,0.0040637490735794144,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_26/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_26/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
27,5.0,5.0,660813.2887,-83577.21129999997,0.11227603159900612,0.0013094650589566424,0.003076901235773578,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_27/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_27/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
28,5.0,5.0,664336.2592,-80054.24080000003,0.10754334022263856,0.001912809437874616,0.005872276806910348,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_28/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_28/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
29,5.0,5.0,673907.3721,-70483.12789999996,0.09468568970184327,0.0024821562125838317,0.015251684936264501,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_29/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_29/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
30,5.0,5.0,677520.5664,-66869.93359999999,0.08983179339338693,0.0011057314355873945,0.0054559639795821405,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_30/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_30/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
31,5.0,5.0,679464.302,-64926.197999999975,0.08722061606105931,0.0008372040729794852,0.004066091973843022,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_31/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_31/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
32,5.0,5.0,682596.0645,-61794.43550000002,0.08301346605041308,0.0005320815676683916,0.006058320919213204,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_32/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260903_17-55-14-ne_ped_scale_1.300/iteration_32/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
