iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,819332.7753,74942.27529999998,0.10067602327004439,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,819822.3376,75431.83759999997,0.10133369192648209,0.00013302329165360788,0.0004775079718457679,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,820438.6993,76048.19929999998,0.10216170047844508,6.69695106495252e-05,0.0006338638655729795,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,820771.8944,76381.39439999999,0.10260930842078182,9.189871910076688e-05,0.0003520180667539861,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,820538.6716,76148.1716,0.1022960013595015,0.0002586769867602909,0.0004190637501750412,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,820890.7573,76500.25730000006,0.1027689865735794,0.00023796480779294886,0.00047042604972795973,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,821159.5642,76769.06420000002,0.10313009663610702,0.00030872318047360964,0.00044822147931706786,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,821207.7522,76817.25219999999,0.10319483147622113,0.0003918707539806359,0.00039711165124218487,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,821643.601,77253.10100000002,0.10378034244123216,0.00040176171590438145,0.0007521758673030754,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,821885.4482,77494.94819999998,0.10410523535697995,0.00045588542353359394,0.000570601823639671,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_21-11-19-ne_ped_scale_1.300/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
