iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,1028880.069,45545.31900000002,0.04631720683114272,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,1029376.728,46041.978,0.04682228305264306,0.0005548999728942793,0.0007925806728042358,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,1028637.214,45302.464000000036,0.04607023600050749,9.29462386840476e-05,0.0010755109734233023,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,1028597.545,45262.79500000004,0.04602989470269411,0.00018031049982321755,0.0007300328397600248,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,1028363.637,45028.88699999999,0.04579202250301841,0.00045676614895665175,0.0008876810515224351,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,1027976.642,44641.89199999999,0.04539846883271439,0.0007105792045977986,0.0010686684577576053,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,1027217.814,43883.06400000001,0.04462678045294343,0.0009051498168683117,0.001309265345341582,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,1026347.18,43012.43000000005,0.04374139122002965,0.0011155632443343535,0.0014763057265241302,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,1025412.063,42077.312999999966,0.042790426149386024,0.0012532709264792062,0.0015950135994819666,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,1024467.25,41132.5,0.04182960075396502,0.0014155865474636245,0.0016961723762902096,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,1.0,1.0,1023336.122,40001.371999999974,0.04067930275015703,0.001595171861874405,0.0018844216651701829,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
11,1.0,1.0,1022147.537,38812.78700000001,0.03947057398307139,0.0017501443939179082,0.0020047642102952973,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_11/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_15-57-17-ne_ped_scale_0.700/iteration_11/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
