iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,1028880.069,45545.31900000002,0.04631720683114272,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,1029498.026,46163.275999999954,0.046945636773235114,0.0007363979156859705,0.0009056161331203629,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,1030039.173,46704.42299999995,0.04749595496345466,0.0005553690578613713,0.0007908519456003155,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,1029337.873,46003.12300000002,0.04678276955024728,0.00019119410187391282,0.0010455978790992946,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,1029593.54,46258.79000000004,0.04704276951465413,0.00017174138724062414,0.0006380101995437162,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,1029734.095,46399.34499999997,0.04718570659686335,7.126661526779135e-05,0.0006334576258443425,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,1029864.243,46529.49300000002,0.04731806030448941,0.00016066235031563178,0.0006566510739106238,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,1029922.905,46588.15500000003,0.047377716489730506,0.000268941778068711,0.0007047140985196628,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,1029906.345,46571.59499999997,0.04736087583602631,0.0003947661230451602,0.0007721879762044593,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,1029892.796,46558.04599999997,0.047347097211809075,0.0005077425467158167,0.0008271104243723624,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260831_11-52-51-ne_ped_scale_0.700/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
