   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260901   3 513 513
 1.361940145E+00 2.443636794E+00 8.500000240E-01 1.427343509E-01-6.190768259E-03
 9.416868218E-01-6.190768259E-03-7.204767010E-02 0.000000000E+00 -4.87488985E-01
 7.782028953E+05-7.204767010E-02 0.000000000E+00 9.416868218E-01 0.000000000E+00
-6.190768259E-03 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 -4.70134460E-01 -4.69919305E-01 -4.69703474E-01 -4.69487164E-01 -4.69270441E-01
 -4.69053193E-01 -4.68835316E-01 -4.68616851E-01 -4.68397831E-01 -4.68178249E-01
 -4.67958095E-01 -4.67737392E-01 -4.67516155E-01 -4.67294374E-01 -4.67072034E-01
 -4.66849150E-01 -4.66625735E-01 -4.66401781E-01 -4.66177275E-01 -4.65952233E-01
 -4.65726662E-01 -4.65500559E-01 -4.65273918E-01 -4.65046749E-01 -4.64819060E-01
 -4.64590851E-01 -4.64362122E-01 -4.64132880E-01 -4.63903135E-01 -4.63672892E-01
 -4.63442156E-01 -4.63210935E-01 -4.62979238E-01 -4.62747074E-01 -4.62514456E-01
 -4.62281389E-01 -4.62047883E-01 -4.61813953E-01 -4.61579612E-01 -4.61344868E-01
 -4.61109733E-01 -4.60874222E-01 -4.60638355E-01 -4.60402139E-01 -4.60165589E-01
 -4.59928725E-01 -4.59691569E-01 -4.59454132E-01 -4.59216429E-01 -4.58978487E-01
 -4.58740336E-01 -4.58501980E-01 -4.58263441E-01 -4.58024751E-01 -4.57785951E-01
 -4.57547052E-01 -4.57308065E-01 -4.57069030E-01 -4.56829977E-01 -4.56590926E-01
 -4.56351893E-01 -4.56112906E-01 -4.55874001E-01 -4.55635186E-01 -4.55396475E-01
 -4.55157901E-01 -4.54919487E-01 -4.54681249E-01 -4.54443202E-01 -4.54205367E-01
 -4.53967771E-01 -4.53730427E-01 -4.53493345E-01 -4.53256545E-01 -4.53020048E-01
