   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260901   3 513 513
 1.361944272E+00 2.443367511E+00 8.500000240E-01 1.427294628E-01-6.037962542E-03
 9.377211705E-01-6.037962542E-03-7.329906112E-02 0.000000000E+00 -4.87488985E-01
 7.995592507E+05-7.329906112E-02 0.000000000E+00 9.377211705E-01 0.000000000E+00
-6.037962542E-03 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 -4.73648844E-01 -4.73370167E-01 -4.73093194E-01 -4.72817268E-01 -4.72542041E-01
 -4.72267674E-01 -4.71994229E-01 -4.71721543E-01 -4.71449547E-01 -4.71178169E-01
 -4.70907348E-01 -4.70637045E-01 -4.70367227E-01 -4.70097846E-01 -4.69828860E-01
 -4.69560248E-01 -4.69291990E-01 -4.69024053E-01 -4.68756404E-01 -4.68489032E-01
 -4.68221924E-01 -4.67955057E-01 -4.67688411E-01 -4.67421977E-01 -4.67155746E-01
 -4.66889704E-01 -4.66623834E-01 -4.66358131E-01 -4.66092591E-01 -4.65827206E-01
 -4.65561968E-01 -4.65296875E-01 -4.65031926E-01 -4.64767115E-01 -4.64502442E-01
 -4.64237905E-01 -4.63973505E-01 -4.63709244E-01 -4.63445125E-01 -4.63181149E-01
 -4.62917320E-01 -4.62653647E-01 -4.62390139E-01 -4.62126801E-01 -4.61863638E-01
 -4.61600665E-01 -4.61337896E-01 -4.61075337E-01 -4.60812996E-01 -4.60550893E-01
 -4.60289049E-01 -4.60027467E-01 -4.59766161E-01 -4.59505157E-01 -4.59244485E-01
 -4.58984154E-01 -4.58724171E-01 -4.58464567E-01 -4.58205366E-01 -4.57946583E-01
 -4.57688228E-01 -4.57430322E-01 -4.57172891E-01 -4.56915942E-01 -4.56659483E-01
 -4.56403540E-01 -4.56148128E-01 -4.55893260E-01 -4.55638945E-01 -4.55385201E-01
 -4.55132046E-01 -4.54879492E-01 -4.54627544E-01 -4.54376216E-01 -4.54125526E-01
 -4.53875479E-01 -4.53626084E-01 -4.53377356E-01 -4.53129306E-01 -4.52881940E-01
 -4.52635268E-01 -4.52389302E-01 -4.52144052E-01 -4.51899528E-01 -4.51655737E-01
 -4.51412685E-01 -4.51170383E-01 -4.50928841E-01 -4.50688063E-01 -4.50448055E-01
 -4.50208826E-01 -4.49970383E-01 -4.49732731E-01 -4.49495876E-01 -4.49259825E-01
 -4.49024584E-01 -4.48790157E-01 -4.48556551E-01 -4.48323770E-01 -4.48091819E-01
 -4.47860703E-01 -4.47630426E-01 -4.47400992E-01 -4.47172405E-01 -4.46944668E-01
 -4.46717787E-01 -4.46491763E-01 -4.46266601E-01 -4.46042304E-01 -4.45818875E-01
 -4.45596319E-01 -4.45374639E-01 -4.45153838E-01 -4.44933917E-01 -4.44714880E-01
 -4.44496730E-01 -4.44279469E-01 -4.44063097E-01 -4.43847616E-01 -4.43633029E-01
 -4.43419336E-01 -4.43206539E-01 -4.42994638E-01 -4.42783633E-01 -4.42573528E-01
 -4.42364323E-01 -4.42156016E-01 -4.41948609E-01 -4.41742103E-01 -4.41536499E-01
 -4.41331800E-01 -4.41128006E-01 -4.40925118E-01 -4.40723135E-01 -4.40522057E-01
 -4.40321886E-01 -4.40122621E-01 -4.39924265E-01 -4.39726815E-01 -4.39530272E-01
 -4.39334638E-01 -4.39139913E-01 -4.38946100E-01 -4.38753199E-01 -4.38561209E-01
 -4.38370130E-01 -4.38179959E-01 -4.37990699E-01 -4.37802348E-01 -4.37614907E-01
 -4.37428375E-01 -4.37242751E-01 -4.37058036E-01 -4.36874229E-01 -4.36691330E-01
 -4.36509341E-01 -4.36328263E-01 -4.36148093E-01 -4.35968829E-01 -4.35790473E-01
 -4.35613024E-01 -4.35436484E-01 -4.35260853E-01 -4.35086132E-01 -4.34912321E-01
 -4.34739417E-01 -4.34567419E-01 -4.34396326E-01 -4.34226138E-01 -4.34056858E-01
 -4.33888484E-01 -4.33721020E-01 -4.33554464E-01 -4.33388816E-01 -4.33224073E-01
 -4.33060236E-01 -4.32897306E-01 -4.32735282E-01 -4.32574167E-01 -4.32413961E-01
 -4.32254663E-01 -4.32096272E-01 -4.31938788E-01 -4.31782210E-01 -4.31626538E-01
 -4.31471772E-01 -4.31317914E-01 -4.31164964E-01 -4.31012922E-01 -4.30861789E-01
 -4.30711564E-01 -4.30562247E-01 -4.30413839E-01 -4.30266339E-01 -4.30119747E-01
 -4.29974065E-01 -4.29829294E-01 -4.29685434E-01 -4.29542486E-01 -4.29400451E-01
