iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,1017305.849,33971.099000000046,0.0345468305681255,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,1018301.925,34967.17500000005,0.0355597877528482,0.0006785701825657855,0.000934721453586852,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,1019263.262,35928.51199999999,0.036537417191856575,0.000506967213002964,0.0008635963742132194,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,1020248.423,36913.67299999995,0.037539274392570744,0.000395475655018047,0.0008728194238955574,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,1021281.852,37947.101999999955,0.0385902176242627,0.00032356228833344073,0.0009219967617336721,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,1022343.912,39009.16200000001,0.03967027708519404,0.0002466480405864662,0.0009610112600013775,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,1023424.141,40089.390999999945,0.04076881346865851,0.0001922565148025204,0.0009893438187614895,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,1024572.09,41237.33999999997,0.041936217549517055,0.00011713611948487669,0.0010512380768478628,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,1025736.721,42401.97100000002,0.043120586351697646,9.032049442995328e-05,0.0010770427684323933,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,1026926.886,43592.13600000006,0.04433092189612953,8.755433364612712e-05,0.0011077631854781952,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,1.0,1.0,1028089.589,44754.839000000036,0.045513330023168645,8.085500409182537e-05,0.0011117353712161017,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
11,1.0,1.0,1029224.97,45890.21999999997,0.04666795310549126,0.0001316524249009401,0.0011200538632356173,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_11/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_11/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
12,1.0,1.0,1030314.478,46979.728,0.047775925746547654,0.00021701525805949682,0.0011252327740172174,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_12/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_12/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
13,1.0,1.0,1031374.959,48040.20900000003,0.04885437944708049,0.00030600179484071915,0.001146013058696759,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_13/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_13/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
14,1.0,1.0,1032203.807,48869.05700000003,0.049697274503926595,0.0007208172872222015,0.001239354712515882,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_14/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_14/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
15,1.0,1.0,1033444.456,50109.706000000006,0.050958949635411546,9.997486460893336e-05,0.001162387324208118,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_15/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_15/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
16,1.0,1.0,1034693.254,51358.50399999996,0.05222891187360149,0.00012189771230419675,0.0011617342049382692,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_16/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_16/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
17,1.0,1.0,1035931.456,52596.706000000006,0.053488098534095335,0.00012017985967234633,0.0011564381352072355,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_17/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_17/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
18,1.0,1.0,1036859.29,53524.54000000004,0.054431657174731224,0.0004676158997007602,0.001135746577839364,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_18/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_18/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
19,1.0,1.0,1037739.553,54404.802999999956,0.0553268385969274,0.0005237468376259434,0.001137280652194335,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_19/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_19/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
20,1.0,1.0,1038572.82,55238.06999999995,0.05617422754560433,0.0005775525619318025,0.001140503060754978,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_20/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_20/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
21,1.0,1.0,1039359.854,56025.10400000005,0.05697459995184758,0.0006292781651842422,0.0011453029553549837,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_21/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260901_21-47-04-Te_ped_scale_0.950/iteration_21/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
