iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,1041906.954,58572.20400000003,0.059564867406546984,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,1043023.621,59688.87100000004,0.06070045932984677,0.0006757790704630702,0.0010645676566135836,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,1043986.809,60652.05900000001,0.06167997113902464,0.0003377083613813352,0.0008982567206739545,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,1044682.491,61347.74100000004,0.06238744334012404,2.8695128354185962e-05,0.0007592861499633361,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,1045113.643,61778.89300000004,0.06282590236946273,0.0002899110836047418,0.0007487279266963239,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,1045313.353,61978.603,0.06302899699212298,0.0005709190068325592,0.0008640580214685291,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,1045319.895,61985.14500000002,0.06303564986389429,0.0008297697153136069,0.0010377961440789477,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,1045165.33,61830.57999999996,0.06287846534458379,0.0010560794509659537,0.0012220010342168693,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,1044842.075,61507.32499999995,0.0625497319198777,0.0012817463306495397,0.0014135949876664677,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,1044422.8,61088.05000000005,0.06212335117822292,0.001421448385209525,0.0015447480128163475,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260902_02-05-46-ne_ped_scale_1.100/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
